Razón Social,Estado,Municipio,Domicilio,Colonia,C.P.,Teléfono,E-mail,tipo_hospedaje,id_propietario,destino_id
Hotel Fiesta Inn Cuernavaca,Morelos,Cuernavaca,Carretera México Acapulco km 88.6 S/N int --,Colonia Delicias,62330,7771008200,rocio.elias@posadas.com,Hotel,55,109
INDUSTRIA HOTELERA DE NAYARIT SA DE CV,Nayarit,Tepic,Avenida DE LOS INSURGENTES PONIENTE 100 int NO APLICA,Colonia CENTRO,63000,3112041216,,Hotel,56,45
CONSORCIO ADMINISTRADOR DE HOTELES NEKIE SA DE CV,Nayarit,Tepic,Avenida TECNOLÓGICO 2661 int NO APLICA,Fraccionamiento LAGOS DEL COUNTRY,63178,3112118450,misfacturas@hotelnekie.com.mx,Hotel,57,78
HOTEL FRAY SELECT,Nayarit,Tepic,Avenida P. SANCHEZ 130 SUR int NO APLICA,Colonia CENTRO,63000,3111337060,contabilidad@hotelfrayjunipero.com,Hotel,58,34
HOTEL LA LOMA,Nayarit,Tepic,Calle PASEO DE LA LOMA 301 int NO APLICA,Colonia CENTRO,63000,3112461806,facturacion.laloma@gmail.com,Hotel,59,104
HOTEL VALERIA,Nayarit,Tepic,Calle ZAPATA 232 int NO APLICA,Colonia CENTRO,63000,3112160475,,Hotel,60,6
HOTEL MERIDA,Nayarit,Tepic,Calle MERIDA 135 int NO APLICA,Colonia CENTRO,63000,3112140290,,Hotel,61,94
HOTEL BRISA MARINA,Nayarit,Tepic,Calle LUIS IBARRA JAIME SIN NUMERO int NO APLICA,Ejido SANTA CRUZ DE MIRAMAR,63778,3232459160,,Hotel,62,59
SANTA MARIA RESORT SA DE CV,Nayarit,Tepic,Calle ROBLE 210 int NO APLICA,Colonia SAN JUAN,63130,3112362654,FACTURAS@SANTAMARIARESORT.COM.MX,Hotel,63,69
HOTEL LOS GIRASOLES,Nayarit,Tepic,Calle SEBASTIÁN LERDO DE TEJADA PONIENTE 181 int NO APLICA,Colonia CENTRO,63000,3112162651,hotel_los_girasoles@hotmail.com,Hotel,64,16
HOTEL FRAY JUNIPERO SERRA,Nayarit,Tepic,Calle SEBASTIÁN LERDO DE TEJADA PONIENTE 23 int NO APLICA,Colonia CENTRO,63000,3112122525,CONTABILIDAD@HOTELFRAYJUNIPERO.COM,Hotel,65,49
HOTEL IBARRA,Nayarit,Tepic,Calle DURANGO NORTE 297 int NO APLICA,Colonia CENTRO,63000,3112123870,ibarramiramontes_rodolfo@hotmail.com,Hotel,66,11
HOTEL POSADA LAMPAZOS,Nuevo León,Los Aldamas,Avenida ZARAGOZA 225 int .,Colonia CENTR,65070,8737380981,,Hotel,67,71
INMOBILIARIA PACAAR,Nuevo León,Apodaca,Avenida BLVD. AEROPUERTO 4001 int .,Colonia PARQUE INDUSTRIAL INTERAMERICANA,66600,,robertoperez282@gmail.com,Hotel,68,38
FIDEICOMISO F/1596,Nuevo León,Apodaca,Boulevard SANTA FE 481 int PISO 7,Parque industrial SANTA FE CUAJIMALPA,5348,8111569953,MARIA.GARZA@POSADAS.COM,Hotel,69,107
FIDEICOMISO IRREVOCABLE DB/1616,Nuevo León,Apodaca,Boulevard AV LAZARO CARDENAS 2305 int .,Colonia SAN AGUSTIN,66260,8182881200,JESUS.ABREGO@HOTELESPRISMA.COM,Hotel,70,81
HOTEL HILTON GARDEN INN MONTERREY AEROPUERTO,Nuevo León,Apodaca,Avenida CARR. MIGUEL ALEMAN  KM.24 SN int .,Colonia ZONA CENTRO,66600,8111560041,HGUAJARDO@GSF-HOTELES.COM,Hotel,71,80
HOTEL VILLA ESCONDIDA,Nuevo León,Cadereyta Jiménez,Prolongación MUTUALISMO 100 int .,Ampliación EJIDO CADEREYTA,67485,8281190686,HOTELVILLASESCONDIDA@LIVE.COM,Hotel,72,111
HOTEL HACIENDA COLONIAL,Nuevo León,Cadereyta Jiménez,Carretera AUTOPISTA MTY. REYNOSA KM. 31.3 SN int .,Colonia GERONIMO TREVIÑO,67480,8231111612,CMB960228@HOTMAIL.COM,Hotel,73,47
HOTEL LAS PALMAS,Nuevo León,China,Avenida ESCOBEDO 800 int .,Colonia ZONA CENTRO,67050,8232320052,argoartemio@gmail.com,Hotel,74,74
HOTEL BILLY BASS,Nuevo León,China,Avenida CARR. A TERAN KM. 3 S/N int .,Colonia SIN COLONIA,67050,8231071039,,Hotel,75,25
HOTEL AURORA,Nuevo León,China,Avenida CARR. A REYNOSA KM.109 S/N int .,Colonia ZONA CENTRO,67050,,esmeraldamoralozano@hotmail.com,Hotel,76,91
HOTEL LA HACIENDA,Nuevo León,China,Avenida NICOLAS BRAVO 201 int .,Colonia CENTRO,67050,,,Hotel,77,9
HOTEL BILLY BASS,Nuevo León,China,Calle CARRETERA A TERAN KM 3 SN int ..,Colonia SIN COLONIA,67050,8231071039,,Hotel,78,6
HOTEL LOS VIENTOS DE GARCIA,Nuevo León,García,Avenida . . int .,Colonia .,66230,8183338824,,Hotel,79,85
HOTEL BEST WESTERN CENTRO CADEREYTA,Nuevo León,Cadereyta Jiménez,Calle HIDALGO ORIENTE 518 int .,Colonia CENTRO,67480,8282844488,BWCENTROCADEREYTA@HOTMAIL.COM,Hotel,80,30
HOTEL BEST WESTERN PLUS MONTERREY AEROPUERTO,Nuevo León,Apodaca,Carretera MIGUEL ALEMAN KM 18.5 SN int .,Colonia CENTRO,66600,8182203200,NLOZANO@BWMONTERREYAEROPUERTO.COM,Hotel,81,99
LIVE AQUA,Nuevo León,San Pedro Garza García,Avenida LAZARO CARDENAS 2424 int .,Residencial SAN AGUSTIN,66260,8116467000,,Hotel,82,38
FIDEICOMISO F/1596,Nuevo León,San Pedro Garza García,Avenida AV. JUAREZ 1102 int .,Colonia ZONA CENTRO,64000,8183991500,ULISES.GARCIA@POSADAS.COM,Hotel,83,11
HOTEL HABITA®MONTERREY,Nuevo León,San Pedro Garza García,Avenida JOSE VASCONCELOS 150 OTE. int NA,Ciudad SAN PEDRO GARZA GARCÍA,66220,,administracion@hotelhabitamty.com,Hotel,84,110
MS MILENIUM,Nuevo León,San Pedro Garza García,Avenida VASCONCELOS OTE 300 int .,Colonia RES. SAN AGUSTIN,66260,,luis.mata@hotelesmilenium.com,Hotel,85,30
HOTEL QUINTA REAL MONTERREY,Nuevo León,San Pedro Garza García,Calle DIEGO RIVERA 500 int .,Colonia DEL VALLE SECT ORIENTE,66269,8183681000,EMORIN@QUINTAREAL.COM.MX,Hotel,86,111
AUTO HOTEL NEVADA,Nuevo León,General Escobedo,Calle MARIANO ESCOBEDO 302 int 0,Colonia ZONA CENTRO,66050,8118027534,A.GARZACELIA@HOTMAIL.COM,Hotel,87,13
MOTEL NUEVA CASTILLA,Nuevo León,General Escobedo,Carretera A LAREDO KM 15.5 SN int .,Colonia NUEVA CASTILLA,66052,8183850265,HOTELNUEVACASTILLA@HOTMAIL.COM,Hotel,88,49
MOTEL VILLAMAGNA,Nuevo León,Juárez,Carretera MONTERREY REYNOSA 14.5 int 0,Colonia BENITO JUAREZ CENTRO,67250,8183261771,VILLAMAG@PRODIGY.NET.MX,Hotel,89,36
FIDEICOMISO F/1596,Nuevo León,Melchor Ocampo,Avenida AV. SANTA FE 481 int .,Colonia CUAJIMALPA MORELOS,5348,,contralorfimtv@posadas.com,Hotel,90,59
IMPULSORA INSER REGIO INMUEBLE,Nuevo León,Monterrey,Andador MARIANO ESCOBEDO 930 int .,Colonia CENTRO,64000,83424200,,Hotel,91,82
IMPULSORA PLAZA VILLA HERMOSA,Nuevo León,Monterrey,Avenida JUAN SALVADOR AGRAZ 69 int PISO 12,Colonia LA LADRILLERA,5348,8121279000,CEMTR.GERENCIA@CITYEXPRESS.COM.MX,Hotel,92,107
INMOBILIARIA ISLAS CANARIAS,Nuevo León,Monterrey,Avenida ABRAHAM LINCOLN 12001 int .,Colonia SAN BERNABE,64108,8183063434,ADMIN@MOTELCANARIAS.COM,Hotel,93,47
HOTEL KRYSTAL MONTERREY,Nuevo León,Monterrey,Avenida CORREGIDORA OTE 519 int .,Ciudad CENTRO,64000,8183190938,arodriguez@krystal-hotels.com,Hotel,94,21
HOTEL FIESTA INN MONTERREY FUNDIDORA,Nuevo León,Monterrey,Avenida CHURUBUSCO 701 int .,Colonia FIERRO MONTERREY,64590,8181260500,REYNA.REYES@POSADAS.COM,Hotel,95,48
HOTEL BEGOÑA,Nuevo León,Monterrey,Avenida VICENTE GUERRERO NORTE 2750 int .,Colonia DEL PRADO,64410,8183721623,,Hotel,96,46
HOTEL SON MAR,Nuevo León,Monterrey,Avenida ALFONSO REYES 1211 int .,Colonia SARABIA,64490,8181251300,NOMINAS@SONMAR.COM.MX,Hotel,97,27
IMPULSORA PLAZA VILLA HERMOSA .,Nuevo León,Monterrey,Avenida REVOLUCION 2703 int ..,Colonia LA LADRILLERA,64830,8121279000,cemtr.contador@cityexpress.com.mx,Hotel,98,86
HOTEL PARQUE CENTRAL,Nuevo León,Monterrey,Avenida JOSÉ MARÍA PINO SUÁREZ 323 int .,Colonia CENTRO,64000,81507108,,Hotel,99,35
HOTEL ONE MONTERREY AEROPUERTO,Nuevo León,Monterrey,Avenida BENITO JUÁREZ 1102 int PISO 7,Colonia SANTA FE CUAJIMALPA,5348,0000000000,,Hotel,100,90
ANTARI SUITE CINTERMEX,Nuevo León,Monterrey,Avenida FUNDIDORA 500 int .,Colonia OBRERA,64010,8318044100,,Hotel,101,88
GRAND MOTEL,Nuevo León,Monterrey,Avenida VICENTE GUERRERO NORTE 1511 int .,Colonia TREVIÑO,64570,83727320,,Hotel,102,83
HOTEL PLAZA DEL ARCO EXPRESS,Nuevo León,Monterrey,Avenida FRANCISCO I. MADERO PONIENTE 309 int .,Colonia CENTRO,64720,8181255950,,Hotel,103,10
HOTEL CITY EXPRESS PLUS SAN JERONIMO,Nuevo León,Monterrey,Avenida SAN JERONIMO 311 int .,Colonia SAN JERONIMO,64640,8150005383,,Hotel,104,78
MILENIUM DESARROLLO TURQUESA,Nuevo León,Monterrey,Avenida CONSTITUCION ORIENTE 300 int 0,Colonia CENTRO,64000,8183196000,,Hotel,105,82
HOTEL REGIS,Nuevo León,Monterrey,Avenida JIMENEZ 1105 int .,Colonia CENTRO,64000,8183752776,,Hotel,106,22
HOTEL CHN,Nuevo León,Monterrey,Avenida AV. PINO SUAREZ SUR 1001 int .,Colonia CENTRO,64000,8181502200,gerencia.centro@chnhoteles.com,Hotel,107,69
OPERADORA PACAAR,Nuevo León,Monterrey,Avenida ZACATEPE 100 int .,Colonia VALLE MORELOS,64180,8117652903,,Hotel,108,94
ANTARISUITE CINTERMEX,Nuevo León,Monterrey,Avenida AV. FUNDIDORA 500 int .,Colonia OBRERA,64010,8183180444,,Hotel,109,32
TURISTICAS GALSTAR,Nuevo León,Monterrey,Avenida ARTEAGA 2060 int .,Colonia CENTRO,64000,8110501398,,Hotel,110,21
INFO CENTER OPERADORA MAYORISTA,Nuevo León,Monterrey,Avenida CARLOS SALAZAR OTE 2420 int .,Colonia OBRERA,64010,8126760305,,Hotel,111,60
HOTELEROS VALLHER,Nuevo León,Monterrey,Avenida SAN FRANCISCO S/N int .,Colonia LOMAS DE SAN FRANCISCO,64710,8183465522,gerencia@vnhotel.com.mx,Hotel,112,49
FIDEICOMISO IRREVOCABLE DB/1616,Nuevo León,Monterrey,Avenida BELISARIO DOMINGUEZ 2725 PTE int PISO PH,Colonia OBISPADO,64060,,selene.pena@aimbridge.cpm,Hotel,113,35
GRUPO CALDERON LOZANO,Nuevo León,Monterrey,Avenida MIGUEL DOMINGUEZ 911 int .,Colonia INDUSTRIAL,64440,,grupocalderon1@hotmail.com,Hotel,114,82
GRUPO CALDERON LOZANO,Nuevo León,Monterrey,Avenida MIGUEL DOMINGUEZ S/N int .,Colonia INDUSTRIAL,64440,,grupocalderon1@hotmail.com,Hotel,115,89
PARQUE ALAMEDA,Nuevo León,Monterrey,Avenida PINO SUAREZ 323 int .,Colonia CENTRO,64000,,aoviedo@hotelparquecentral.com.mx,Hotel,116,72
HOTELES BL DE MEXICO,Nuevo León,Monterrey,Avenida MADERO ORIENTE 2427 int A,Colonia ACERO,64580,,,Hotel,117,29
HOTEL ISTAY,Nuevo León,Monterrey,Calle PADRE MIER 194 int .,Colonia MONTERREY CENTRO,64000,8182286000,CARLOS-PEREZ@HOTELESMILENIUM.COM,Hotel,118,88
HOTEL COLONIAL,Nuevo León,Monterrey,Calle MIGUEL HIDALGO ORIENTE 475 int .,Colonia CENTRO,63996,83806300,,Hotel,119,42
OPERADORA DE HOTELES FUNDIDORA,Nuevo León,Monterrey,Calle RETORNO FUNDIDORA 100 int SN,Colonia OBRERA,64010,8183696024,LUIS.MATA@HOTELESMILENIUM.COM,Hotel,120,108
LA CASA DEL HOTELERO,Nuevo León,Monterrey,Calle MIGUEL NIETO SUR 434 int .,Colonia ZONA CENTRO,64000,8344394000,administracion@lacasadelhotelero.com,Hotel,121,99
OFFICE SUPPLY DE MONTERREY S. DE R.L. DE C.V.,Nuevo León,Monterrey,Calle EBANO 3349 int na,Colonia VALLE DEL TOPO CHICO,64259,8183117144,jose.valdez@osm.com.mx,Hotel,122,100
HOTEL SAN ANGEL,Nuevo León,Sabinas Hidalgo,Avenida CARRETERA NACIONAL 1075 int .,Colonia MARIA LUISA,65200,8242423232,everardo1989@hotmail.com,Hotel,123,8
HOTEL SAN ANGEL,Nuevo León,Sabinas Hidalgo,Carretera CARRETERA NACIONAL 1075 int .,Colonia MARIA LUISA,65200,8242423232,EVERARDO1989@HOTMAIL.COM,Hotel,124,30
HOTEL COMFORT INN MONTERREY NORTE,Nuevo León,San Nicolás de los Garza,Avenida ADOLFO LOPEZ MATEOS 251 int 251,Colonia CONSTITUYENTES DE QUERETARO,66490,8183059300,JC.CRUZ@COMFORTINNMONTERREYNORTE.COM,Hotel,125,106
FIBRA HOTELERA SC,Nuevo León,San Nicolás de los Garza,Avenida SANTA FE 481 int PISO 7,Colonia SANTA FE CUAJIMALPA,5348,,comprasfimtf@posadas.com,Hotel,126,5
HOTEL JUAN,Nuevo León,Hidalgo,Avenida CARRETERA NACIONAL 106 int .,Colonia LA RALDEÑA,65200,,,Hotel,127,104
MOTEL DEL BOSQUE,Nuevo León,Santa Catarina,Carretera VILLA DE GARCIA OTE. 127 int SN,Colonia LOMAS DE SANTA CATARINA,66359,8183168061,OROSODEMTY@PRODIGY.NET.MX,Hotel,128,41
"BAHIA ESCONDIDA SPORT CLUB, CONVENTION CENTER & RESORT",Nuevo León,Santiago,Calle FALDA CERRO DE LA ERMITA 1010 int 0,Colonia EL CERCADO,67310,8112919000,,Hotel,129,52
HOTEL VILLA DE LEON,Oaxaca,Oaxaca de Juárez,Calle REFORMA 405 int SN,Colonia CENTRO,68000,5295151619,,Hotel,130,35
HOTEL DAINZU,Oaxaca,Oaxaca de Juárez,Calle HIDALGO 1013 int SN,Colonia CENTRO,68000,5295151618,,Hotel,131,9
HOTEL RINCON DEL ARCANGEL,Oaxaca,Oaxaca de Juárez,Calle LAURELES 306 int SN,Fraccionamiento TRINIDAD DE LAS HUERTAS,68120,5295151495,,Hotel,132,28
HOTEL ECLIPSE,Oaxaca,Oaxaca de Juárez,Calle VALERIO TRUJANO 414 int SN,Colonia CENTRO,68000,9515169049,HOTEL_ECLIPSE@HOTMAIL.COM,Hotel,133,73
HOTEL DIAZ ORDAZ,Oaxaca,Oaxaca de Juárez,Calle DIAZ ORDAZ 316 int SN,Colonia CENTRO OAXACA,68000,9512325075,,Hotel,134,113
CAMPESTRE LO FI,Baja California,Ensenada,Carretera TECATE - ENSENADA EJIDO  KM 83 int X,Ejido FRANCISCO ZARCO,22750,6646865557,pasero@paseroabogado.com,Hotel,135,92
HOTEL VILLA BLANCA,Baja California,Mexicali,Boulevard LAZARO CARDENAS 1701 int N/A,Rancho LA BODEGA,21379,6865687858,HOTELMINOLS@PRODIGY.NET.MX,Hotel,136,41
HOTEL CITY EXPRESS,Baja California,Mexicali,Boulevard BENITO JUAREZ 1342 int N/A,Fraccionamiento JARDINES DEL VALLE,21270,6865423039,cemxl.contador@cityexpress.com.mx,Hotel,137,28
VISION HOTELERA SA DE CV. (MATRIZ),Baja California,Mexicali,Boulevard BENITO JUAREZ 2220 int N/A,Fraccionamiento JARDINES DEL VALLE,21279,6865683320,HOTELERAMEXICALI_98@HOTMAIL.COM,Hotel,138,84
HOTEL ARAGON HERMANOS,Baja California,Mexicali,Calzada CHETUMAL 293 int N/A,Colonia CENTRO SAN FELIPE,21850,6865772490,joelperez6407@gmail.com,Hotel,139,64
HOTEL PROGRESO,Baja California,Mexicali,Calzada CORONEL ESTEBAN CANTU KM 6.5 int N/A,Colonia PROGRESO,21395,6865559200,HOTELMINOLS@PRODIGY.NET.MX,Hotel,140,51
VISION HOTELERA SA DE CV. (HOTEL CALAFIA),Baja California,Mexicali,Calzada JUSTO SIERRA 1495 int N/A,Fraccionamiento LOS PINOS,21230,6865683311,pquintero@araizahoteles.com,Hotel,141,83
HOTEL MINOL'S,Baja California,Mexicali,Carretera CARRETERA A TIJUANA KM 1.5 S/N int S/N,Colonia ZARAGOZA,21604,6865559200,hotelminols@prodigy.net.mx,Hotel,142,59
HOTEL CITY EXPRESS INSURGENTES,Baja California,Tijuana,Boulevard INSURGENTES 5950 int --,Colonia EL LAGO,22210,6631057175,cetii.contador@cityexpress.com,Hotel,143,19
OPERADORA MAYAN CC505764,Baja California,Tijuana,Avenida PASEO DE LOS HEROES 10093 int 0,Colonia ZONA RIO,22010,6646342896,JESCALANTE@INTELE.COM.MX,Hotel,144,34
HOTEL AQUA RIO C10518,Baja California,Tijuana,Avenida CONSTITUCION 1618 int 2,Colonia ZONA CENTRO,22000,6643689523,AQUARIOHOTEL.CONTABILIDAD@GMAIL.COM,Hotel,145,18
HOTEL VILLA CARLOS C88370,Baja California,Tijuana,Avenida VENUSTIANO CARRANZA 720 int 0,Colonia CASTILLO,22050,6646871036,MEXYGALDETURISMO@HOTMAIL.COM,Hotel,146,32
CUARTOS MA BELLA C24905,Baja California,Tijuana,Calle FRAY JUSTO SIERRA 9232 int 0,Colonia MARRON,22000,6641302152,,Hotel,147,96
